192 # HTTP内容错误
193 # CURLE_UNSUPPORTED_PROTOCOL, 1: unsupported protocol
194 # CURLE_FAILED_INIT, 2: failed init
195 # CURLE_URL_MALFORMAT, 3: URL using bad/illegal format or missing URL
196 # CURLE_URL_MALFORMAT_USER, 4: unknown error
197 # CURLE_COULDNT_RESOLVE_PROXY, 5: couldn’t resolve proxy name
198 # CURLE_COULDNT_RESOLVE_HOST, 6: couldn’t resolve host name
199 # CURLE_COULDNT_CONNECT, 7: couldn’t connect to server
201 # CURLE_FTP_WEIRD_SERVER_REPLY, 8: FTP: weird server reply
202 # CURLE_FTP_ACCESS_DENIED,9
203 # CURLE_FTP_USER_PASSWORD_INCORRECT, 10: unknown error
204 # CURLE_FTP_WEIRD_PASS_REPLY, 11: FTP: unknown PASS reply
205 # CURLE_FTP_WEIRD_USER_REPLY, 12: FTP: unknown USER reply
206 # CURLE_FTP_WEIRD_PASV_REPLY, 13: FTP: unknown PASV reply
207 # CURLE_FTP_WEIRD_227_FORMAT, 14: FTP: unknown 227 response format
208 # CURLE_FTP_CANT_GET_HOST, 15: FTP: can’t figure out the host in the PASV response
209 # CURLE_FTP_CANT_RECONNECT, 16: FTP: can’t connect to server the response code is unknown
210 # CURLE_FTP_COULDNT_SET_BINARY, 17: FTP: couldn’t set binary mode
211 # CURLE_PARTIAL_FILE, 18: Transferred a partial file
212 # CURLE_FTP_COULDNT_RETR_FILE, 19: FTP: couldn’t retrieve (RETR failed) the specified file
213 # CURLE_FTP_WRITE_ERROR, 20: FTP: the post-transfer acknowledge response was not OK
214 # CURLE_FTP_QUOTE_ERROR, 21: FTP: a quote command returned error
215 # CURLE_HTTP_RETURNED_ERROR, 22: HTTP response code said error
216 # CURLE_WRITE_ERROR, 23: failed writing received data to disk/application
217 # CURLE_MALFORMAT_USER, 24: unknown error
218 # CURLE_UPLOAD_FAILED, 25: upload failed (at start/before it took off)
219 # CURLE_READ_ERROR, 26: failed to open/read local data from file/application
220 # CURLE_OUT_OF_MEMORY, 27: out of memory
221 # CURLE_OPERATION_TIMEOUTED, 28: a timeout was reached
222 # CURLE_FTP_COULDNT_SET_ASCII, 29: FTP could not set ASCII mode (TYPE A)
223 # CURLE_FTP_PORT_FAILED, 30: FTP command PORT failed
224 # CURLE_FTP_COULDNT_USE_REST, 31: FTP command REST failed
225 # CURLE_FTP_COULDNT_GET_SIZE, 32: FTP command SIZE failed
226 # CURLE_HTTP_RANGE_ERROR, 33: a range was requested but the server did not deliver it
227 # CURLE_HTTP_POST_ERROR, 34: internal problem setting up the POST
228 # CURLE_SSL_CONNECT_ERROR, 35: SSL connect error
229 # CURLE_BAD_DOWNLOAD_RESUME, 36: couldn’t resume download
230 # CURLE_FILE_COULDNT_READ_FILE, 37: couldn’t read a file 231 # CURLE_LDAP_CANNOT_BIND, 38: LDAP: cannot bind
232 # CURLE_LDAP_SEARCH_FAILED, 39: LDAP: search failed
233 # CURLE_LIBRARY_NOT_FOUND, 40: a required shared library was not found
